taxonomy	MetaAn_1	MetaAn_10	MetaAn_11	MetaAn_12	MetaAn_13	MetaAn_14	MetaAn_15	MetaAn_16	MetaAn_17	MetaAn_18	MetaAn_19	MetaAn_2	MetaAn_20	MetaAn_21	MetaAn_22	MetaAn_23	MetaAn_24	MetaAn_25	MetaAn_26	MetaAn_27	MetaAn_28	MetaAn_29	MetaAn_3	MetaAn_30	MetaAn_31	MetaAn_32	MetaAn_33	MetaAn_34	MetaAn_35	MetaAn_36	MetaAn_37	MetaAn_38	MetaAn_39	MetaAn_4	MetaAn_40	MetaAn_41	MetaAn_43	MetaAn_44	MetaAn_45	MetaAn_46	MetaAn_47	MetaAn_48	MetaAn_49	MetaAn_5	MetaAn_50	MetaAn_53	MetaAn_54	MetaAn_55	MetaAn_56	MetaAn_57	MetaAn_58	MetaAn_59	MetaAn_6	MetaAn_60	MetaAn_61	MetaAn_62	MetaAn_63	MetaAn_64	MetaAn_65	MetaAn_66	MetaAn_67	MetaAn_68	MetaAn_69	MetaAn_7	MetaAn_70	MetaAn_71	MetaAn_72	MetaAn_73	MetaAn_74	MetaAn_75	MetaAn_76	MetaAn_77	MetaAn_78	MetaAn_79	MetaAn_8	MetaAn_80	MetaAn_81	MetaAn_82	MetaAn_83	MetaAn_84	MetaAn_9
Rickettsiaceae	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.06	0	0	0	0	0	0.02	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.02	0	0
UBA9215	0	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonadaceae	1.38	4.79	0.99	0.12	0.2	1.17	2.8	4.77	0.46	0.48	0.75	8.37	10.63	2.06	1.22	2.39	0.6	0.94	0.3	0.04	1.32	1.26	11.17	0.09	0.18	0.05	0.11	0.04	0.24	0.07	0.27	0.13	0.44	4.71	0.08	0.17	0.84	0.33	0.6	0.25	0.38	1.05	1.21	0.45	1.12	7.51	0.82	0	0.32	8.48	0.87	0.22	1.02	3.17	0.03	2.37	1.99	2.67	1.38	5.79	0.85	0.81	0.06	2.64	1.26	0.91	3.06	1.2	0.65	3.53	0.38	1.13	1.57	0.28	2.37	2.51	0.25	1.44	0.81	2.03	1.72
Rhodanobacteraceae	13.74	12.08	0.24	0	0	0.17	1.93	2.15	0.03	0.06	0.13	4.47	0.19	0.36	0.59	0.12	0	0.12	0	0	0.01	0.23	5.05	0	0.02	0	0	0	0	0	0	0	0.03	1.13	0	0	0	0.03	0.14	0.02	0.02	0	1.45	0.15	0.05	0.05	0.12	0	0	0.05	0	5.55	0.2	1.64	0.09	1	2.63	0.8	0.28	4.1	0.59	0.09	0.11	2.9	0.98	0.18	1.09	0.01	0	1.18	2.8	0.1	0.52	0.24	22.63	0.21	0.08	1.19	2.22	0.33	18.1
SZUA-36	0	1.5	0	0.09	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0.62	0.12	0	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0
Marinicellaceae	0	0.48	0	0.28	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0.04	0.01	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderiaceae	7.82	2.82	6.24	0.18	0.08	3.21	4.56	6.12	1.32	0.49	2	8.77	6.33	4.27	2.68	16.44	1.01	2.07	0.49	0.41	4.42	0.88	4.6	0.48	0.85	0.26	0.24	0.54	0.56	0.07	0.59	0.58	0.98	7.05	0.38	0.29	0.89	0.7	1.54	0.7	1.61	4.77	2.76	1.68	2.24	5.01	2.19	0.48	1.21	2.13	3.02	3.27	2.89	11.09	0.39	3.06	11.9	8.67	3.65	2.29	0.93	4.21	2.2	3.12	29.45	6.45	6.38	0.24	1.63	6.22	2.74	8.46	5.03	2.94	3.08	6.77	4.82	3.57	2.87	4.13	8.45
Nitrosomonadaceae	3.02	0.51	0	0.08	0.12	0.22	1.52	3.01	0.01	0	0.1	0.14	0.04	0	0.05	0.15	0	0	0	0	0.24	0	0.38	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0.04	0.49	0.79	0.03	0.01	0.17	0	0	0	0.1	0.07	0	0	0.17	0	0	0.17	0.03	0.41	0	0.17	0.54	0.02	0.11	0	0	0.18	0	0	0.07	0.06	0.1	0.13	0.31	0.1	0.15	0.03	0.22	0.19	0.28	1.24
Thiobacillaceae	0	0.91	0	0	0	0	0	0	0.01	0	0	2.33	0	0	0	0.05	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.02	0	0	0.2	0	0	0	0.03	0.04	1.45	0	0	0.06	0	0	0.16	0	0	0	0.05	0.19	0.06	0	0.14	0	0.02	0.02
Rhodocyclaceae	0.05	0.13	0.16	0	0	0.07	0.09	0.06	0.01	0	0	0.4	0.03	0.03	0.05	3.01	0	0	0	0	0.01	0	0.02	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0.06	0.03	0	0	0	0	0	0	0	0.06	0.13	0.04	0.02	0.02	0.14	0.02	0	0.03	0.31	0.19	0.07	0.35	0.11	0	0	0.03	0.45	0	0.96	0.22	0.16	0.03	0.55	0.56	0.38	0.26	0.24	0.12
